date,variable_type,item,unit,value
2026-09-13,crop_price,wheat,AUD/t,310
2026-09-13,crop_price,canola,AUD/t,620
2026-09-13,crop_price,barley,AUD/t,285
2026-09-13,crop_price,maize,AUD/t,335
2026-09-13,fuel_price,diesel,AUD/L,2.1
2026-09-13,labour_cost,worker,AUD/hour,35.0
2026-09-13,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-13,input_cost,herbicide,AUD/L,10.5
2026-09-13,input_cost,pesticide,AUD/L,12.0
2026-09-13,input_cost,fungicide,AUD/L,14.0
2026-09-13,input_cost,maize_seed,AUD/kg,6.8
2026-09-13,water_cost,irrigation_water,AUD/ML,95.0
2026-09-14,crop_price,wheat,AUD/t,312
2026-09-14,crop_price,canola,AUD/t,623
2026-09-14,crop_price,barley,AUD/t,286
2026-09-14,crop_price,maize,AUD/t,335
2026-09-14,fuel_price,diesel,AUD/L,2.105
2026-09-14,labour_cost,worker,AUD/hour,35.0
2026-09-14,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-14,input_cost,herbicide,AUD/L,10.5
2026-09-14,input_cost,pesticide,AUD/L,12.0
2026-09-14,input_cost,fungicide,AUD/L,14.0
2026-09-14,input_cost,maize_seed,AUD/kg,6.8
2026-09-14,water_cost,irrigation_water,AUD/ML,95.0
2026-09-15,crop_price,wheat,AUD/t,311
2026-09-15,crop_price,canola,AUD/t,625
2026-09-15,crop_price,barley,AUD/t,285
2026-09-15,crop_price,maize,AUD/t,336
2026-09-15,fuel_price,diesel,AUD/L,2.11
2026-09-15,labour_cost,worker,AUD/hour,35.0
2026-09-15,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-15,input_cost,herbicide,AUD/L,10.5
2026-09-15,input_cost,pesticide,AUD/L,12.0
2026-09-15,input_cost,fungicide,AUD/L,14.0
2026-09-15,input_cost,maize_seed,AUD/kg,6.8
2026-09-15,water_cost,irrigation_water,AUD/ML,95.0
2026-09-16,crop_price,wheat,AUD/t,309
2026-09-16,crop_price,canola,AUD/t,624
2026-09-16,crop_price,barley,AUD/t,287
2026-09-16,crop_price,maize,AUD/t,336
2026-09-16,fuel_price,diesel,AUD/L,2.115
2026-09-16,labour_cost,worker,AUD/hour,35.0
2026-09-16,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-16,input_cost,herbicide,AUD/L,10.5
2026-09-16,input_cost,pesticide,AUD/L,12.0
2026-09-16,input_cost,fungicide,AUD/L,14.0
2026-09-16,input_cost,maize_seed,AUD/kg,6.8
2026-09-16,water_cost,irrigation_water,AUD/ML,95.0
2026-09-17,crop_price,wheat,AUD/t,313
2026-09-17,crop_price,canola,AUD/t,627
2026-09-17,crop_price,barley,AUD/t,288
2026-09-17,crop_price,maize,AUD/t,337
2026-09-17,fuel_price,diesel,AUD/L,2.12
2026-09-17,labour_cost,worker,AUD/hour,35.0
2026-09-17,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-17,input_cost,herbicide,AUD/L,10.5
2026-09-17,input_cost,pesticide,AUD/L,12.0
2026-09-17,input_cost,fungicide,AUD/L,14.0
2026-09-17,input_cost,maize_seed,AUD/kg,6.8
2026-09-17,water_cost,irrigation_water,AUD/ML,95.0
2026-09-18,crop_price,wheat,AUD/t,315
2026-09-18,crop_price,canola,AUD/t,628
2026-09-18,crop_price,barley,AUD/t,287
2026-09-18,crop_price,maize,AUD/t,337
2026-09-18,fuel_price,diesel,AUD/L,2.125
2026-09-18,labour_cost,worker,AUD/hour,35.0
2026-09-18,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-18,input_cost,herbicide,AUD/L,10.5
2026-09-18,input_cost,pesticide,AUD/L,12.0
2026-09-18,input_cost,fungicide,AUD/L,14.0
2026-09-18,input_cost,maize_seed,AUD/kg,6.8
2026-09-18,water_cost,irrigation_water,AUD/ML,95.0
2026-09-19,crop_price,wheat,AUD/t,314
2026-09-19,crop_price,canola,AUD/t,626
2026-09-19,crop_price,barley,AUD/t,289
2026-09-19,crop_price,maize,AUD/t,338
2026-09-19,fuel_price,diesel,AUD/L,2.13
2026-09-19,labour_cost,worker,AUD/hour,35.0
2026-09-19,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-19,input_cost,herbicide,AUD/L,10.5
2026-09-19,input_cost,pesticide,AUD/L,12.0
2026-09-19,input_cost,fungicide,AUD/L,14.0
2026-09-19,input_cost,maize_seed,AUD/kg,6.8
2026-09-19,water_cost,irrigation_water,AUD/ML,95.0
2026-09-20,crop_price,wheat,AUD/t,312
2026-09-20,crop_price,canola,AUD/t,625
2026-09-20,crop_price,barley,AUD/t,288
2026-09-20,crop_price,maize,AUD/t,337
2026-09-20,fuel_price,diesel,AUD/L,2.135
2026-09-20,labour_cost,worker,AUD/hour,35.0
2026-09-20,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-20,input_cost,herbicide,AUD/L,10.5
2026-09-20,input_cost,pesticide,AUD/L,12.0
2026-09-20,input_cost,fungicide,AUD/L,14.0
2026-09-20,input_cost,maize_seed,AUD/kg,6.8
2026-09-20,water_cost,irrigation_water,AUD/ML,95.0
2026-09-21,crop_price,wheat,AUD/t,310
2026-09-21,crop_price,canola,AUD/t,622
2026-09-21,crop_price,barley,AUD/t,286
2026-09-21,crop_price,maize,AUD/t,337
2026-09-21,fuel_price,diesel,AUD/L,2.14
2026-09-21,labour_cost,worker,AUD/hour,35.0
2026-09-21,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-21,input_cost,herbicide,AUD/L,10.5
2026-09-21,input_cost,pesticide,AUD/L,12.0
2026-09-21,input_cost,fungicide,AUD/L,14.0
2026-09-21,input_cost,maize_seed,AUD/kg,6.8
2026-09-21,water_cost,irrigation_water,AUD/ML,95.0
2026-09-22,crop_price,wheat,AUD/t,308
2026-09-22,crop_price,canola,AUD/t,620
2026-09-22,crop_price,barley,AUD/t,285
2026-09-22,crop_price,maize,AUD/t,336
2026-09-22,fuel_price,diesel,AUD/L,2.145
2026-09-22,labour_cost,worker,AUD/hour,35.0
2026-09-22,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-22,input_cost,herbicide,AUD/L,10.5
2026-09-22,input_cost,pesticide,AUD/L,12.0
2026-09-22,input_cost,fungicide,AUD/L,14.0
2026-09-22,input_cost,maize_seed,AUD/kg,6.8
2026-09-22,water_cost,irrigation_water,AUD/ML,95.0
2026-09-23,crop_price,wheat,AUD/t,311
2026-09-23,crop_price,canola,AUD/t,623
2026-09-23,crop_price,barley,AUD/t,286
2026-09-23,crop_price,maize,AUD/t,337
2026-09-23,fuel_price,diesel,AUD/L,2.15
2026-09-23,labour_cost,worker,AUD/hour,35.0
2026-09-23,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-23,input_cost,herbicide,AUD/L,10.5
2026-09-23,input_cost,pesticide,AUD/L,12.0
2026-09-23,input_cost,fungicide,AUD/L,14.0
2026-09-23,input_cost,maize_seed,AUD/kg,6.8
2026-09-23,water_cost,irrigation_water,AUD/ML,95.0
2026-09-24,crop_price,wheat,AUD/t,313
2026-09-24,crop_price,canola,AUD/t,624
2026-09-24,crop_price,barley,AUD/t,287
2026-09-24,crop_price,maize,AUD/t,338
2026-09-24,fuel_price,diesel,AUD/L,2.155
2026-09-24,labour_cost,worker,AUD/hour,35.0
2026-09-24,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-24,input_cost,herbicide,AUD/L,10.5
2026-09-24,input_cost,pesticide,AUD/L,12.0
2026-09-24,input_cost,fungicide,AUD/L,14.0
2026-09-24,input_cost,maize_seed,AUD/kg,6.8
2026-09-24,water_cost,irrigation_water,AUD/ML,95.0
2026-09-25,crop_price,wheat,AUD/t,312
2026-09-25,crop_price,canola,AUD/t,626
2026-09-25,crop_price,barley,AUD/t,288
2026-09-25,crop_price,maize,AUD/t,338
2026-09-25,fuel_price,diesel,AUD/L,2.16
2026-09-25,labour_cost,worker,AUD/hour,35.0
2026-09-25,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-25,input_cost,herbicide,AUD/L,10.5
2026-09-25,input_cost,pesticide,AUD/L,12.0
2026-09-25,input_cost,fungicide,AUD/L,14.0
2026-09-25,input_cost,maize_seed,AUD/kg,6.8
2026-09-25,water_cost,irrigation_water,AUD/ML,95.0
2026-09-26,crop_price,wheat,AUD/t,314
2026-09-26,crop_price,canola,AUD/t,627
2026-09-26,crop_price,barley,AUD/t,287
2026-09-26,crop_price,maize,AUD/t,339
2026-09-26,fuel_price,diesel,AUD/L,2.165
2026-09-26,labour_cost,worker,AUD/hour,35.0
2026-09-26,input_cost,nitrogen_fertiliser,AUD/kg,1.2
2026-09-26,input_cost,herbicide,AUD/L,10.5
2026-09-26,input_cost,pesticide,AUD/L,12.0
2026-09-26,input_cost,fungicide,AUD/L,14.0
2026-09-26,input_cost,maize_seed,AUD/kg,6.8
2026-09-26,water_cost,irrigation_water,AUD/ML,95.0
