date,field_id,growth_stage,readiness,soil_moisture,soil_temperature_c,expected_yield_t_ha,nitrogen_index,weed_pressure,pest_pressure,disease_pressure,seedbed_readiness
2026-09-13,F1,maturing,0.86,0.2,13.5,4.45,0.66,0.08,0.06,0.09,0.1
2026-09-13,F2,pod_fill,0.6,0.28,13.8,2.95,0.67,0.1,0.18,0.1,0.12
2026-09-13,F3,stem_elongation,0.49,0.25,13.7,4.1,0.6,0.35,0.08,0.08,0.12
2026-09-13,F4,flag_leaf,0.56,0.27,13.9,4.35,0.52,0.1,0.08,0.1,0.1
2026-09-13,F5,fallow,0.0,0.2,14.5,0.0,0.6,0.14,0.08,0.06,0.52
2026-09-13,F6,flowering,0.55,0.26,14.0,3.05,0.64,0.12,0.25,0.1,0.1
2026-09-13,F7,maturing,0.75,0.22,13.6,4.2,0.65,0.09,0.08,0.2,0.1
2026-09-14,F1,maturing,0.878,0.195,13.65,4.46,0.66,0.08,0.06,0.09,0.1
2026-09-14,F2,pod_fill,0.606,0.269,13.98,2.958,0.67,0.1,0.215,0.1,0.12
2026-09-14,F3,stem_elongation,0.499,0.246,13.87,4.106,0.578,0.385,0.08,0.1,0.12
2026-09-14,F4,flag_leaf,0.568,0.266,14.06,4.356,0.5,0.1,0.08,0.112,0.1
2026-09-14,F5,fallow,0.0,0.198,14.8,0.0,0.6,0.14,0.08,0.06,0.55
2026-09-14,F6,flowering,0.557,0.25,14.18,3.056,0.64,0.12,0.29,0.112,0.1
2026-09-14,F7,maturing,0.768,0.216,13.76,4.212,0.65,0.09,0.08,0.225,0.1
2026-09-15,F1,maturing,0.896,0.238,13.8,4.47,0.66,0.08,0.06,0.09,0.1
2026-09-15,F2,pod_fill,0.612,0.306,14.16,2.966,0.67,0.1,0.25,0.1,0.12
2026-09-15,F3,stem_elongation,0.508,0.29,14.04,4.112,0.556,0.42,0.08,0.12,0.12
2026-09-15,F4,flag_leaf,0.576,0.31,14.22,4.362,0.48,0.1,0.08,0.124,0.1
2026-09-15,F5,fallow,0.0,0.269,15.1,0.0,0.6,0.14,0.08,0.06,0.66
2026-09-15,F6,flowering,0.564,0.288,14.36,3.062,0.64,0.12,0.33,0.124,0.1
2026-09-15,F7,maturing,0.786,0.26,13.92,4.224,0.65,0.09,0.08,0.25,0.1
2026-09-16,F1,mature,0.914,0.217,13.95,4.48,0.66,0.08,0.06,0.09,0.1
2026-09-16,F2,pod_fill,0.618,0.279,14.34,2.974,0.67,0.1,0.285,0.1,0.12
2026-09-16,F3,stem_elongation,0.517,0.27,14.21,4.118,0.534,0.455,0.08,0.14,0.12
2026-09-16,F4,flag_leaf,0.584,0.29,14.38,4.368,0.46,0.1,0.08,0.136,0.1
2026-09-16,F5,fallow,0.0,0.251,15.4,0.0,0.6,0.14,0.08,0.06,0.69
2026-09-16,F6,flowering,0.571,0.262,14.54,3.068,0.64,0.12,0.37,0.136,0.1
2026-09-16,F7,maturing,0.804,0.24,14.08,4.236,0.65,0.09,0.08,0.275,0.1
2026-09-17,F1,mature,0.932,0.196,14.1,4.49,0.66,0.08,0.06,0.09,0.1
2026-09-17,F2,pod_fill,0.624,0.252,14.52,2.982,0.67,0.1,0.32,0.1,0.12
2026-09-17,F3,stem_elongation,0.526,0.25,14.38,4.124,0.512,0.49,0.08,0.16,0.12
2026-09-17,F4,flag_leaf,0.592,0.27,14.54,4.374,0.44,0.1,0.08,0.148,0.1
2026-09-17,F5,fallow,0.0,0.233,15.7,0.0,0.6,0.14,0.08,0.06,0.72
2026-09-17,F6,flowering,0.578,0.236,14.72,3.074,0.64,0.12,0.41,0.148,0.1
2026-09-17,F7,maturing,0.822,0.22,14.24,4.248,0.65,0.09,0.08,0.3,0.1
2026-09-18,F1,mature,0.95,0.175,14.25,4.49,0.66,0.08,0.06,0.09,0.1
2026-09-18,F2,pod_fill,0.63,0.225,14.7,2.99,0.67,0.1,0.355,0.1,0.12
2026-09-18,F3,stem_elongation,0.535,0.23,14.55,4.13,0.49,0.525,0.08,0.18,0.12
2026-09-18,F4,flag_leaf,0.6,0.25,14.7,4.38,0.42,0.1,0.08,0.16,0.1
2026-09-18,F5,fallow,0.0,0.215,16.0,0.0,0.6,0.14,0.08,0.06,0.75
2026-09-18,F6,flowering,0.585,0.21,14.9,3.08,0.64,0.12,0.45,0.16,0.1
2026-09-18,F7,maturing,0.84,0.2,14.4,4.26,0.65,0.09,0.08,0.325,0.1
2026-09-19,F1,mature,0.968,0.254,14.4,4.49,0.66,0.08,0.06,0.09,0.1
2026-09-19,F2,pod_fill,0.636,0.298,14.88,2.998,0.67,0.1,0.39,0.1,0.12
2026-09-19,F3,stem_elongation,0.544,0.31,14.72,4.136,0.468,0.56,0.08,0.2,0.12
2026-09-19,F4,flag_leaf,0.608,0.33,14.86,4.386,0.4,0.1,0.08,0.292,0.1
2026-09-19,F5,fallow,0.0,0.297,16.3,0.0,0.6,0.14,0.08,0.06,0.78
2026-09-19,F6,flowering,0.592,0.284,15.08,3.086,0.64,0.12,0.49,0.172,0.1
2026-09-19,F7,maturing,0.858,0.28,14.56,4.272,0.65,0.09,0.08,0.35,0.1
2026-09-20,F1,mature,0.986,0.221,14.55,4.49,0.66,0.08,0.06,0.09,0.1
2026-09-20,F2,pod_fill,0.642,0.259,15.06,3.006,0.67,0.1,0.425,0.1,0.12
2026-09-20,F3,stem_elongation,0.553,0.278,14.89,4.142,0.446,0.595,0.08,0.22,0.12
2026-09-20,F4,flag_leaf,0.616,0.298,15.02,4.392,0.38,0.1,0.08,0.304,0.1
2026-09-20,F5,fallow,0.0,0.267,16.6,0.0,0.6,0.14,0.08,0.06,0.81
2026-09-20,F6,flowering,0.599,0.246,15.26,3.092,0.64,0.12,0.53,0.184,0.1
2026-09-20,F7,maturing,0.876,0.248,14.72,4.284,0.65,0.09,0.08,0.375,0.1
2026-09-21,F1,mature,1.0,0.188,14.7,4.455,0.66,0.08,0.06,0.09,0.1
2026-09-21,F2,pod_fill,0.648,0.22,15.24,3.006,0.67,0.1,0.46,0.1,0.12
2026-09-21,F3,stem_elongation,0.562,0.246,15.06,4.142,0.424,0.63,0.08,0.24,0.12
2026-09-21,F4,flag_leaf,0.624,0.266,15.18,4.398,0.36,0.1,0.08,0.316,0.1
2026-09-21,F5,fallow,0.0,0.237,16.9,0.0,0.6,0.14,0.08,0.06,0.84
2026-09-21,F6,flowering,0.606,0.208,15.44,3.098,0.64,0.12,0.57,0.196,0.1
2026-09-21,F7,maturing,0.894,0.216,14.88,4.284,0.65,0.09,0.08,0.4,0.1
2026-09-22,F1,mature,1.0,0.155,14.85,4.42,0.66,0.08,0.06,0.09,0.1
2026-09-22,F2,pod_fill,0.654,0.181,15.42,3.006,0.67,0.1,0.495,0.1,0.12
2026-09-22,F3,stem_elongation,0.571,0.214,15.23,4.142,0.402,0.665,0.08,0.26,0.12
2026-09-22,F4,flag_leaf,0.632,0.234,15.34,4.398,0.34,0.1,0.08,0.328,0.1
2026-09-22,F5,fallow,0.0,0.207,17.2,0.0,0.6,0.14,0.08,0.06,0.87
2026-09-22,F6,flowering,0.613,0.17,15.62,3.098,0.64,0.12,0.61,0.208,0.1
2026-09-22,F7,mature,0.912,0.184,15.04,4.284,0.65,0.09,0.08,0.425,0.1
2026-09-23,F1,mature,1.0,0.15,15.0,4.385,0.66,0.08,0.06,0.09,0.1
2026-09-23,F2,pod_fill,0.66,0.17,15.6,3.006,0.67,0.1,0.53,0.1,0.12
2026-09-23,F3,stem_elongation,0.58,0.21,15.4,4.142,0.38,0.7,0.08,0.28,0.12
2026-09-23,F4,flag_leaf,0.64,0.23,15.5,4.398,0.32,0.1,0.08,0.34,0.1
2026-09-23,F5,fallow,0.0,0.205,17.5,0.0,0.6,0.14,0.08,0.06,0.9
2026-09-23,F6,flowering,0.62,0.16,15.8,3.098,0.64,0.12,0.65,0.22,0.1
2026-09-23,F7,mature,0.93,0.18,15.2,4.284,0.65,0.09,0.08,0.45,0.1
2026-09-24,F1,mature,1.0,0.181,15.15,4.35,0.66,0.08,0.06,0.09,0.1
2026-09-24,F2,pod_fill,0.666,0.195,15.78,3.006,0.67,0.1,0.565,0.1,0.12
2026-09-24,F3,stem_elongation,0.589,0.242,15.57,4.142,0.358,0.735,0.08,0.3,0.12
2026-09-24,F4,flag_leaf,0.648,0.262,15.66,4.398,0.3,0.1,0.08,0.352,0.1
2026-09-24,F5,fallow,0.0,0.239,17.8,0.0,0.6,0.14,0.08,0.06,0.93
2026-09-24,F6,flowering,0.627,0.186,15.98,3.098,0.64,0.12,0.69,0.232,0.1
2026-09-24,F7,mature,0.948,0.212,15.36,4.254,0.65,0.09,0.08,0.475,0.1
2026-09-25,F1,mature,1.0,0.164,15.3,4.315,0.66,0.08,0.06,0.09,0.1
2026-09-25,F2,pod_fill,0.672,0.172,15.96,3.006,0.67,0.1,0.6,0.1,0.12
2026-09-25,F3,stem_elongation,0.598,0.226,15.74,4.142,0.336,0.77,0.08,0.32,0.12
2026-09-25,F4,flag_leaf,0.656,0.246,15.82,4.398,0.28,0.1,0.08,0.364,0.1
2026-09-25,F5,fallow,0.0,0.225,18.1,0.0,0.6,0.14,0.08,0.06,0.96
2026-09-25,F6,flowering,0.634,0.164,16.16,3.098,0.64,0.12,0.73,0.244,0.1
2026-09-25,F7,mature,0.966,0.196,15.52,4.224,0.65,0.09,0.08,0.5,0.1
2026-09-26,F1,mature,1.0,0.147,15.45,4.28,0.66,0.08,0.06,0.09,0.1
2026-09-26,F2,pod_fill,0.678,0.149,16.14,3.006,0.67,0.1,0.635,0.1,0.12
2026-09-26,F3,stem_elongation,0.607,0.21,15.91,4.142,0.314,0.805,0.08,0.34,0.12
2026-09-26,F4,flag_leaf,0.664,0.23,15.98,4.398,0.26,0.1,0.08,0.376,0.1
2026-09-26,F5,fallow,0.0,0.211,18.4,0.0,0.6,0.14,0.08,0.06,0.99
2026-09-26,F6,flowering,0.641,0.142,16.34,3.098,0.64,0.12,0.77,0.256,0.1
2026-09-26,F7,mature,0.984,0.18,15.68,4.194,0.65,0.09,0.08,0.525,0.1
