season_id,field_id,timestamp,crop,growth_stage,soil_moisture,nitrogen_index,weed_pressure,pest_pressure,disease_pressure,operation,spray_target,next_crop,next_growth_stage,next_soil_moisture,next_nitrogen_index,next_weed_pressure,next_pest_pressure,next_disease_pressure,actual_yield_t_ha
2024_F1,F1,2024-04-11 07:00,,fallow,0.272,0.295,0.205,0.086,0.108,plant,,wheat,planted,0.272,0.295,0.205,0.086,0.108,
2024_F1,F1,2024-04-29 07:00,wheat,planted,0.246,0.289,0.23,0.092,0.122,fertilise,,wheat,vegetative,0.246,0.839,0.23,0.092,0.122,
2024_F1,F1,2024-05-21 07:00,wheat,vegetative,0.228,0.537,0.265,0.1,0.131,spray,weed,wheat,vegetative,0.228,0.537,0.013,0.1,0.131,
2024_F1,F1,2024-06-20 07:00,wheat,vegetative,0.185,0.523,0.068,0.129,0.137,spray,pest,wheat,flowering,0.185,0.523,0.068,0.006,0.137,
2024_F1,F1,2024-07-12 07:00,wheat,flowering,0.161,0.516,0.082,0.037,0.158,fertilise,,wheat,flowering,0.161,1,0.082,0.037,0.158,
2024_F1,F1,2024-08-01 07:00,wheat,flowering,0.129,0.774,0.103,0.056,0.164,spray,disease,wheat,mature,0.129,0.774,0.103,0.056,0.008,
2024_F1,F1,2024-09-08 07:00,wheat,mature,0.129,0.774,0.103,0.056,0.014,harvest,,,fallow,0.129,0.774,0.103,0.056,0.014,6.10
2025_F1,F1,2025-04-11 07:00,,fallow,0.308,0.323,0.171,0.127,0.102,plant,,wheat,planted,0.308,0.323,0.171,0.127,0.102,
2025_F1,F1,2025-04-29 07:00,wheat,planted,0.284,0.306,0.202,0.138,0.118,fertilise,,wheat,vegetative,0.284,0.856,0.202,0.138,0.118,
2025_F1,F1,2025-05-21 07:00,wheat,vegetative,0.243,0.608,0.221,0.168,0.125,spray,weed,wheat,vegetative,0.243,0.608,0.011,0.168,0.125,
2025_F1,F1,2025-06-20 07:00,wheat,vegetative,0.205,0.601,0.058,0.174,0.143,spray,pest,wheat,flowering,0.205,0.601,0.058,0.009,0.143,
2025_F1,F1,2025-07-12 07:00,wheat,flowering,0.173,0.583,0.077,0.052,0.16,fertilise,,wheat,flowering,0.173,1,0.077,0.052,0.16,
2025_F1,F1,2025-08-01 07:00,wheat,flowering,0.144,0.89,0.115,0.069,0.178,spray,disease,wheat,mature,0.144,0.89,0.115,0.069,0.009,
2025_F1,F1,2025-09-08 07:00,wheat,mature,0.144,0.89,0.115,0.069,0.016,harvest,,,fallow,0.144,0.89,0.115,0.069,0.016,6.35
2024_F2,F2,2024-04-12 07:00,,fallow,0.305,0.379,0.222,0.103,0.097,plant,,canola,planted,0.305,0.379,0.222,0.103,0.097,
2024_F2,F2,2024-04-30 07:00,canola,planted,0.27,0.374,0.246,0.112,0.104,fertilise,,canola,vegetative,0.27,0.824,0.246,0.112,0.104,
2024_F2,F2,2024-05-20 07:00,canola,vegetative,0.232,0.625,0.263,0.127,0.126,irrigate,,canola,vegetative,0.512,0.625,0.263,0.127,0.126,
2024_F2,F2,2024-06-09 07:00,canola,vegetative,0.299,0.612,0.3,0.152,0.148,spray,weed,canola,vegetative,0.299,0.612,0.006,0.152,0.148,
2024_F2,F2,2024-07-03 07:00,canola,vegetative,0.272,0.602,0.077,0.181,0.156,spray,pest,canola,flowering,0.272,0.602,0.077,0.004,0.156,
2024_F2,F2,2024-08-02 07:00,canola,flowering,0.25,0.593,0.102,0.038,0.166,spray,disease,canola,mature,0.25,0.593,0.102,0.038,0.003,
2024_F2,F2,2024-09-09 07:00,canola,mature,0.25,0.593,0.102,0.038,0.013,harvest,,,fallow,0.25,0.593,0.102,0.038,0.013,4.10
