option_id,candidate_id,plan_id,field_id,operation,target,start_time,end_time,completion_time,machine_id,work_hours,workload_hours,remaining_workload_hours,workers_required,water_ml,direct_revenue_aud,direct_cost_aud,direct_cash_effect_aud,state_yield_effect_t_ha
F5_O001,P09_F5_plant_20260916_0700,P09,F5,plant,maize,2026-09-16 07:00:00,2026-09-16 17:00:00,2026-09-22 13:09:14,M5,10.0,21.2,11.35,2,0.0,0.0,17760.04,-17760.04,4.8537
F7_O001,P13_F7_spray_20260915_0900,P13,F7,spray,disease_control,2026-09-16 07:00:00,2026-09-16 10:41:16,2026-09-18 17:00:00,M3,3.6878,13.3333,9.7008,1,0.0,0.0,3830.89,-3830.89,0.1904
F1_O001,P01_F1_harvest_20260917_0700,P01,F1,harvest,wheat,2026-09-17 07:00:00,2026-09-17 17:00:00,2026-09-21 17:00:00,M1,10.0,20.0,10.875,2,0.0,152093.52,5501.17,146592.35,0.0
F3_O001,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-17 07:00:00,2026-09-17 10:16:39,2026-09-19 15:00:00,M9,3.2777,16.7917,13.8008,1,0.0,0.0,3906.06,-3906.06,0.4547
F5_O001,P09_F5_plant_20260916_0700,P09,F5,plant,maize,2026-09-17 07:00:00,2026-09-17 12:32:15,2026-09-22 13:09:14,M5,5.5375,21.2,6.297,2,0.0,0.0,0.0,0.0,0.0
F3_O001,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-18 07:00:00,2026-09-18 17:00:00,2026-09-19 15:00:00,M9,10.0,16.7917,4.1,1,0.0,0.0,0.0,0.0,0.0
F4_O001,P07_F4_fertilise_20260918_0700,P07,F4,fertilise,nitrogen,2026-09-18 07:00:00,2026-09-18 16:31:01,2026-09-21 07:00:04,M4,9.517,13.3333,4.101,1,0.0,0.0,9300.18,-9300.18,0.2555
F7_O001,P13_F7_spray_20260915_0900,P13,F7,spray,disease_control,2026-09-18 07:00:00,2026-09-18 17:00:00,2026-09-18 17:00:00,M3,10.0,13.3333,0.0,1,0.0,0.0,0.0,0.0,0.0
F1_O001,P01_F1_harvest_20260917_0700,P01,F1,harvest,wheat,2026-09-19 08:00:00,2026-09-19 11:45:21,2026-09-21 17:00:00,M1,3.7561,20.0,8.675,2,0.0,0.0,0.0,0.0,0.0
F3_O001,P05_F3_spray_20260917_0700,P05,F3,spray,weed_control,2026-09-19 08:00:00,2026-09-19 15:00:00,2026-09-19 15:00:00,M9,7.0,16.7917,0.0,1,0.0,0.0,0.0,0.0,0.0
F4_O001,P07_F4_fertilise_20260918_0700,P07,F4,fertilise,nitrogen,2026-09-19 08:00:00,2026-09-19 15:00:00,2026-09-21 07:00:04,M4,7.0,13.3333,0.001,1,0.0,0.0,0.0,0.0,0.0
F5_O001,P09_F5_plant_20260916_0700,P09,F5,plant,maize,2026-09-19 08:00:00,2026-09-19 08:14:38,2026-09-22 13:09:14,M5,0.2439,21.2,6.1542,2,0.0,0.0,0.0,0.0,0.0
F2_O001,P03_F2_spray_20260919_0900,P03,F2,spray,pest_control,2026-09-19 09:00:00,2026-09-19 15:00:00,2026-09-21 17:00:00,M3,6.0,15.0,11.6,1,0.0,0.0,4370.3,-4370.3,0.2631
F2_O001,P03_F2_spray_20260919_0900,P03,F2,spray,pest_control,2026-09-20 08:00:00,2026-09-20 13:34:17,2026-09-21 17:00:00,M3,5.5714,15.0,8.675,1,0.0,0.0,0.0,0.0,0.0
F1_O001,P01_F1_harvest_20260917_0700,P01,F1,harvest,wheat,2026-09-21 07:00:00,2026-09-21 17:00:00,2026-09-21 17:00:00,M1,10.0,20.0,0.0,2,0.0,0.0,0.0,0.0,0.0
F2_O001,P03_F2_spray_20260919_0900,P03,F2,spray,pest_control,2026-09-21 07:00:00,2026-09-21 17:00:00,2026-09-21 17:00:00,M3,10.0,15.0,0.0,1,0.0,0.0,0.0,0.0,0.0
F4_O001,P07_F4_fertilise_20260918_0700,P07,F4,fertilise,nitrogen,2026-09-21 07:00:00,2026-09-21 07:00:04,2026-09-21 07:00:04,M4,0.0012,13.3333,0.0,1,0.0,0.0,0.0,0.0,0.0
F6_O001,P11_F6_spray_20260921_0900,P11,F6,spray,pest_control,2026-09-21 09:00:00,2026-09-21 13:27:39,2026-09-22 17:00:00,M10,4.461,13.75,10.0,1,0.0,0.0,3507.54,-3507.54,0.3973
F3_O001,P06_F3_fertilise_20260922_0700,P06,F3,fertilise,nitrogen,2026-09-22 07:00:00,2026-09-22 14:41:30,2026-09-23 17:00:00,M4,7.6917,16.7917,9.1,1,0.0,0.0,9000.34,-9000.34,0.2427
F5_O001,P09_F5_plant_20260916_0700,P09,F5,plant,maize,2026-09-22 07:00:00,2026-09-22 13:09:14,2026-09-22 13:09:14,M5,6.1542,21.2,0.0,2,0.0,0.0,0.0,0.0,0.0
F6_O001,P11_F6_spray_20260921_0900,P11,F6,spray,pest_control,2026-09-22 07:00:00,2026-09-22 17:00:00,2026-09-22 17:00:00,M10,10.0,13.75,0.0,1,0.0,0.0,0.0,0.0,0.0
