option_id,candidate_id,plan_id,field_id,operation,target,start_time,end_time,completion_time,machine_id,work_hours,workload_hours,remaining_workload_hours,workers_required,water_ml,direct_revenue_aud,direct_cost_aud,direct_cash_effect_aud,state_yield_effect_t_ha
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-16 07:00:00,2026-09-16 09:41:49,2026-09-21 14:41:49,M1,2.6971,24.0,21.3029,2,0.0,179809.01,6000.0,173809.01,0.0
F3_O029,P05_F3_spray_20260916_0700,P05,F3,spray,weed_control,2026-09-16 07:00:00,2026-09-16 17:00:00,2026-09-19 08:07:30,M9,10.0,10.125,0.125,1,0.0,0.0,2305.13,-2305.13,0.4216
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-17 07:00:00,2026-09-17 14:41:49,2026-09-21 14:41:49,M1,7.6971,24.0,13.6058,2,0.0,0.0,0.0,0.0,0.0
F4_O028,P07_F4_fertilise_20260918_0700,P07,F4,fertilise,nitrogen,2026-09-18 07:00:00,2026-09-18 15:19:56,2026-09-19 08:00:03,M4,8.3323,8.3333,0.001,1,0.0,0.0,5633.33,-5633.33,0.2555
F5_O002,P09_F5_plant_20260917_0800,P09,F5,plant,maize,2026-09-18 07:00:00,2026-09-18 10:31:51,2026-09-22 14:38:04,M5,3.5309,15.2,11.6691,2,0.0,0.0,12616.0,-12616.0,5.8404
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-19 08:00:00,2026-09-19 10:19:29,2026-09-21 14:41:49,M1,2.325,24.0,11.2809,2,0.0,0.0,0.0,0.0,0.0
F3_O029,P05_F3_spray_20260916_0700,P05,F3,spray,weed_control,2026-09-19 08:00:00,2026-09-19 08:07:30,2026-09-19 08:07:30,M9,0.125,10.125,0.0,1,0.0,0.0,0.0,0.0,0.0
F4_O028,P07_F4_fertilise_20260918_0700,P07,F4,fertilise,nitrogen,2026-09-19 08:00:00,2026-09-19 08:00:03,2026-09-19 08:00:03,M4,0.001,8.3333,0.0,1,0.0,0.0,0.0,0.0,0.0
F5_O002,P09_F5_plant_20260917_0800,P09,F5,plant,maize,2026-09-19 08:00:00,2026-09-19 11:00:00,2026-09-22 14:38:04,M5,3.0,15.2,8.6691,2,0.0,0.0,0.0,0.0,0.0
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-20 08:00:00,2026-09-20 11:35:01,2026-09-21 14:41:49,M1,3.5838,24.0,7.6971,2,0.0,0.0,0.0,0.0,0.0
F5_O002,P09_F5_plant_20260917_0800,P09,F5,plant,maize,2026-09-20 08:00:00,2026-09-20 09:02:04,2026-09-22 14:38:04,M5,1.0345,15.2,7.6346,2,0.0,0.0,0.0,0.0,0.0
F1_O010,P01_F1_harvest_20260916_0700,P01,F1,harvest,wheat,2026-09-21 07:00:00,2026-09-21 14:41:49,2026-09-21 14:41:49,M1,7.6971,24.0,0.0,2,0.0,0.0,0.0,0.0,0.0
F3_O029,P06_F3_fertilise_20260919_0900,P06,F3,fertilise,nitrogen,2026-09-22 07:00:00,2026-09-22 07:07:30,2026-09-23 17:00:00,M4,0.125,10.125,10.0,1,0.0,0.0,5386.5,-5386.5,0.195
F5_O002,P09_F5_plant_20260917_0800,P09,F5,plant,maize,2026-09-22 07:00:00,2026-09-22 14:38:04,2026-09-22 14:38:04,M5,7.6346,15.2,0.0,2,0.0,0.0,0.0,0.0,0.0
F3_O029,P06_F3_fertilise_20260919_0900,P06,F3,fertilise,nitrogen,2026-09-23 07:00:00,2026-09-23 17:00:00,2026-09-23 17:00:00,M4,10.0,10.125,0.0,1,0.0,0.0,0.0,0.0,0.0
F3_O029,P15_F3_spray_20260923_0800,P15,F3,spray,disease_control,2026-09-24 07:00:00,2026-09-24 14:03:39,2026-09-25 10:03:50,M3,7.0609,10.125,3.0641,1,0.0,0.0,2730.38,-2730.38,0.2998
F4_O028,P08_F4_spray_20260924_0800,P08,F4,spray,disease_control,2026-09-24 08:00:00,2026-09-24 16:19:59,2026-09-24 16:19:59,M9,8.3333,8.3333,0.0,1,0.0,0.0,2247.22,-2247.22,0.3686
F7_O002,P14_F7_harvest_20260923_0700,P14,F7,harvest,wheat,2026-09-25 07:00:00,2026-09-25 09:36:43,2026-09-26 13:23:16,M1,2.612,8.0,5.388,2,0.0,57378.12,2000.0,55378.12,0.0
F3_O029,P15_F3_spray_20260923_0800,P15,F3,spray,disease_control,2026-09-25 07:00:00,2026-09-25 10:03:50,2026-09-25 10:03:50,M3,3.0641,10.125,0.0,1,0.0,0.0,0.0,0.0,0.0
F7_O002,P14_F7_harvest_20260923_0700,P14,F7,harvest,wheat,2026-09-26 08:00:00,2026-09-26 13:23:16,2026-09-26 13:23:16,M1,5.388,8.0,0.0,2,0.0,0.0,0.0,0.0,0.0
